排名,标题,描述,链接,图像,热度,关注者,被浏览量,总回答数,是否在榜,是否已生成ai总结,Hash,回答1,回答1点赞数,回答2,回答2点赞数
11,科比生涯场均 24.9 分，命中率又低，为什么还被称为超级得分手呢？,科比曾砍下第二高分的 81 分，即便退役战也能得到 60 分，更是连续 4 场 50+，场均得分虽然不能与乔丹，詹姆斯比，最主要原因是科比跟腱断裂后，运动能力下降，得分减弱，最后三年拉低了平均得分。,https://www.zhihu.com/question/1911373023505801327,https://pica.zhimg.com/80/v2-78af1ca779c923859e6418e3d322a4e9_400x224.jpg,148 万热度,138,"407,431",98,False,True,47568188017921217917788592919478169518759614692773753440406480461358677927611,[],540,[],96
12,17 岁中学生成中国首位从北坡登顶珠峰的青少年，这有多厉害？和南坡相比，北坡登顶有哪些挑战？,据央视新闻 5 月 28 日报道，5 月 25 日，北京第八十中学学生李浩榕在当天早晨 6 点 39 分成功登顶珠穆朗玛峰，成为中国首位从北坡登顶珠峰的青少年。 ▲央视新闻报道截图 根据游美营地（北京）教育科技有限公司官方微信公众号文章介绍，李浩榕成为中国登山史上首位从北坡登顶珠峰的未成年男生，全球第一个从北坡登顶珠峰的中国中学生，同时获得国家健将级运动员称号。 此次珠峰攀登历时 46 天，抵达珠峰大本营后，登山队展开了多次高原适应性拉练，建立海拔记忆，并在真实雪山和冰壁环境中进行多项高海拔攀登技能和技术装备的训练，以便冲顶时顺利翻越珠峰北坳大冰壁和第一、第二和第三台阶。5 月 20 日迎来珠峰窗口期，登山队从珠峰大本营出发冲顶，队员于 5 月 25 日 6 点到 9 点，相继胜利登顶。 ▲李浩榕发布的登顶珠峰视频截图 5 月 26 日下午，李浩榕本人也在自己账号分享了自己成功登顶珠峰的视频，他在留言中再次感谢向导洛桑顿珠和索朗次仁，两位向导在其登顶途中所提供的保护与帮助是不可或缺的。李浩榕也感谢亲人和师友，以及攀登雪山以来陪伴他登山的队友。「他们对我的支持令我受益匪浅，没有你们我是真的不可能完成这样的攀登。」 ▲李浩榕发布的登顶珠峰视频截图 5 月 29 日，红星新闻记者在李浩榕抖音账号留言，表达了相关采访请求，截至发稿对方暂未回复。 据北京第八十中学官方微信账号介绍，李浩榕为该校国际部学生，校攀登社成员，成功登顶过海拔 5025 米的四姑娘山、 5895 米的非洲最高峰乞力马扎罗、 6178 米的青海玉珠峰。西藏自治区人民政府官网文章介绍，2024 年 10 月 8 日 8 时 10 分，李浩榕成功登顶海拔 8201 米的卓奥友峰，成为中国第一个登顶卓奥友峰的未成年男性。 29 日，中国登山运动员次仁扎西接受红星新闻记者采访，他表示和南坡相比，从北坡登顶珠峰对挑战者的要求更严格，费用也会更高。从北坡出发抵达海拔 8300 米以后需要越过「三大台阶」，最难的点在于天气变化。「今年和以往不一样，天气变化无常，北坡这边氧气稀少，而南坡氧气更充足一点。」次仁扎西说，北坡的地形相当于一个大风口，风特别大，因此要求严格。 次仁扎西介绍，如果想从北坡登顶珠峰，最主要的还是高海拔适应能力。首先需要家人的支持，第二就是要有充足的资金。 「如果想登顶珠峰又想安全地回来，北坡这边的向导、公司的要求很严格，各项制度都很规范，一般都不会出意外事故。费用或将近 50 万元，而且随着珠峰冰川融化，这个费用以后还会上涨。」次仁扎西说。%3D%3D&scm=thor.280_14-200000.0.0.&spm=smpc.home.top-news2.15.17485092030265oXoZw5_1467,https://www.zhihu.com/question/1911487556740145665,https://pic2.zhimg.com/50/v2-aed9895e1aae27c6892351b4f3b98e4b_400x224.jpg,147 万热度,410,"713,642",314,False,True,38117789232967583491761290622477060865231279646696668106869729077944811401485,[],649,[],629
13,比亚迪李云飞点名回应长城魏总，称中国主流车企根本不存在所谓「车圈恒大」，这场舆论暗战暴露了哪些问题？,5 月 30 日，比亚迪集团品牌及公关处总经理李云飞在社交媒体发文，回应近期讨论度较高的「汽车圈恒大」问题。李云飞明确说「这源于上周长城汽车魏总的惊人言论，现在汽车产业里边的恒大已经存在了，只不过没爆而已」。 李云飞称，最近大量的文章、评论还有视频，都暗指比亚迪是「汽车圈恒大」，对此很困惑，感觉又好气又好笑。 他在文中列举了多项数据，回应资产负债率高、总负债 5800 多亿、对供应商的付款周期等问题，并对比了国内外同行的情况。 对供应商付款周期问题，李云飞说：「我们也同样看看国内车企财报里的应付账款和应付票据的平均周转天数，我们是 127 天、吉利也是 127 天、长城是 163 天、上汽是 164 天。」 李云飞还提到，比亚迪 2024 年全年营收 7771 亿，净利润 403 亿，研发投入 542 亿，国内纳税 510 亿，现金储备 1549 亿，是过去 30 年最好的经营业绩。 他认为，中国主流车企的资产负债情况要好于国外车企，根本不存在所谓的「车圈恒大」，任何唱衰中国新能源汽车的言论都是不可取的。 比亚迪李云飞点名回应长城魏总：根本不存在所谓「车圈恒大」,https://www.zhihu.com/question/1911812992196150318,https://pic1.zhimg.com/80/v2-2eeb8af634b758539f9bac22e19eedca_400x224.png,146 万热度,46,"30,936",36,False,True,93820081726503446364318078515635584998309515442512025701728983891317203601048,[],28,[],9
14,《西虹市首富》里面想花完钱却越花越多的情况，现实里面会发生吗？,,https://www.zhihu.com/question/428046378,https://pica.zhimg.com/80/v2-9d765f33c660464349b02c0a9628332f_400x224.png,146 万热度,1701,"12,432,115",503,False,True,34243415283597504924579455944019884676472189753939859962166485945074377485498,[],1,[],1
15,请问如何看待 2025 年新一线城市榜单？,,https://www.zhihu.com/question/1911051260477547256,https://pica.zhimg.com/50/v2-c3308caaa3d191dfe3de128cef31cdc2_400x224.jpg,137 万热度,67,"99,658",44,False,True,20350660049908753901889265505251433243629240262040570196412643277481096133101,[],141,[],73
16,5 月 30 日汤姆·克鲁斯主演的电影《碟中谍 8：最终清算》上映，如何评价这部电影？,,https://www.zhihu.com/question/1911477845458384078,https://picx.zhimg.com/50/v2-10a88c3d28cc53dbd22405cb65470973_400x224.jpg,126 万热度,21,"12,234",15,False,True,84510701384470818977062096721387707258214128306373203350630381188155904170680,[],8,[],20
17,印度国防部批准五代机研发项目，成本近 17.6 亿美元，研发总周期预计约 10 年，哪些信息值得关注？,中国新闻社消息，据路透社报道，印度国防部长拉杰纳特·辛格 27 日批准第五代战斗机研发项目，标志着项目实施进入原型机研发阶段。该项目已在一年前获得印度内阁安全委员会批准。 外媒称，此举或与几周前的军事冲突有关，是印度与邻国新一轮军备竞赛的重要组成部分。 据报道，印度国防研究与发展组织下属的航空发展局将负责飞机设计，包括印度斯坦航空有限公司在内的制造商通过公平竞标获得制造合同。项目预估成本 1500 亿印度卢比（约合 17.58 亿美元）。据悉，新机型属于双发五代隐身战斗机，将采用融合传感器、内置武器舱、超音速巡航等先进技术，以大幅提升印度空军战斗力。 报道说，该飞机的研发总周期预计约 10 年，计划先制造 5 架原型机。 虽然印方雄心勃勃，但有分析指出，未来挑战十分艰巨，需要攻克隐身结构、推进系统、航电设备、作战数据链等多道工程和技术难关。印度研发五代战机，成本近 17.6 亿美元印度国防部批准第五代战机研发项目,https://www.zhihu.com/question/1911009747622146733,https://pic4.zhimg.com/50/v2-f151a0e19a30ee97ff22fb465fa99b73_400x224.jpg,112 万热度,38,"58,618",39,False,True,70141825106500279360176874257514458526388591138050646682634468097981678349922,[],50,[],29
18,瑞幸多款饮品降价 3 元下探至 6.9 元，瑞幸为什么重启价格战？瑞幸的成本是多少？还有多少利润空间？,5 月 30 日，消费者在瑞幸咖啡点单时注意到，其核心饮品价格已下探至 6.9 元区间。有用户反馈称，「此前 9.9 元通常是瑞幸的价格底线，但今日发现多款饮品已降至 6.9 元」。值得关注的是，本轮咖啡与奶茶行业的价格竞争，正是由瑞幸咖啡在去年率先发起，彼时其最低价格锚点设定为 9.9 元 / 杯。 2024 年第二季度，外卖平台成为奶茶及咖啡品牌价格战的主要阵地。在此背景下，瑞幸咖啡的主要竞争对手库迪咖啡，已将部分单品价格大幅压低至 3.9 元 / 杯与 4.9 元 / 杯。 据饿了么平台数据显示，「淘宝闪购」频道全量上线 24 小时内，库迪咖啡销量迅速攀升至平台咖啡类目首位，单日订单量较平日激增近 10 倍。目前尚不明确瑞幸咖啡此次降价举措，是否与外卖平台持续的价格竞争态势存在直接关联。 瑞幸多款饮品降价 3 元，近期库迪咖啡外卖平台部分单品价格大幅压低至 3.9 元 / 杯与 4.9 元 / 杯,https://www.zhihu.com/question/1911783953712505790,https://picx.zhimg.com/50/v2-f42280c97ab16b429ae2b65ce6d356d5_400x224.jpg,104 万热度,15,"3,921",15,False,True,44436858687810970990136052184941555278388895253989124075394376628052217203462,[],9,[],2
19,如何评价在最终开启荣都保卫战后，《绝地潜兵 2》被大量集中差评的现象？,这是否是玩家们对「设计师教你玩游戏」的反抗？,https://www.zhihu.com/question/1911709283361466031,https://picx.zhimg.com/80/v2-dd18507d4f27056d9da9f1824f02273d_400x224.png?source=1def8aca,91 万热度,116,"612,942",77,False,True,57308659451532936686971286760314573643101405459956240233955787947932158163498,[],599,[],451
20,为什么除了人类，哺乳动物拉屎的时间都是 12 秒？,,https://www.zhihu.com/question/1909638546781874113,https://pic1.zhimg.com/80/v2-a64931e4b9292c560fe63a57f7fb6bbf_400x224.png?source=1def8aca ,89 万热度,262,"596,160",107,False,True,11938132649131850859266674463631450183988491864537832487368062864282345418379,[],1146,[],265
21,无菌蛋和其他鸡蛋的区别在哪里？无菌蛋的「无菌」概念是智商税吗？,,https://www.zhihu.com/question/1911082648983541149,,86 万热度,29,"17,397",15,False,True,34680162379894197898146979883421518959290453099605319567912675792267566562531,[],345,[],49
22,怎样判断父母是不是真的爱你？,怎样判断父母是不是真的爱你？,https://www.zhihu.com/question/321353759,https://pic1.zhimg.com/80/v2-d4cb6a8d0f8e9a7d8af9a0aeead28424_400x224.jpeg,85 万热度,5428,"10,139,677","1,141",False,True,36486690151708735178022108016954794593189558234088427326303103816893639435883,[],4164,[],8901
23,如何评价《歌手 2025》第三期所有歌手的演唱？,断眉来啦！,https://www.zhihu.com/question/1911866662610773749,https://pica.zhimg.com/80/v2-5a90ee42476ae6cd62084064e6017d38_400x224.png?source=1def8aca,79 万热度,34,"23,990",28,False,False,75688299874247615546129378025348215854736789873331661501073772245922390400566,[],27,[],7
24,为应对电池「不起火不爆炸」强制要求，车企开始进行新国标测试，从技术角度看，电池热失控可以避免吗？,工业和信息化部日前发布强制性国家标准《电动汽车用动力蓄电池安全要求》，旨在从产品设计端降低动力电池自燃事故发生率。 虽然距离明年 7 月 1 日正式实施还有 1 年多的时间，但记者注意到，这段时间，围绕着新国标的新产品试验及测试项目明显多了起来。 在中国汽车技术研究中心新能源检验中心，记者看到，工程师正在对汽车动力电池开展多项高难度的测试。相关负责人表示，绝大多数的试验都是围绕新国标展开的。,https://www.zhihu.com/question/1911032777144529297,,78 万热度,24,"5,954",16,False,True,46169806815762381460197521949045023143622068039747146727790235033856580407069,[],9,[],10
25,科技工作者，今年是你入行的第几年？还记得刚入行时的自己吗？若能与那个「新人」通话 60s，你会聊什么？,科技工作者，你好。 今年是你入行的第几年？还记得刚刚参加工作时的自己吗？ 从「新人菜鸟」到「独当一面」，你见证了哪些自己和行业的变化？ 这些年，你参与的科研成果中，哪一项真正改变了普通人的生活？或者，有没有一个瞬间，你觉得「很值得」？ 时过境迁，如果有一个与当年的自己「跨时空对话」 60 秒的机会，你最想对 TA 说点什么？ 当年困扰你的问题，如今得到解答了吗？今天，哪些问题成了你正在思考的？ 也许我们在不同的年代，都遇到过相似的问题。也许你现在正在困惑的，是我曾经历的。 你的问题，期待同路的「过来人」给你 @解答。,https://www.zhihu.com/question/1900483532964500590,https://picx.zhimg.com/80/v2-f6a900f1b575fb0ce1168539f907a446_400x224.png?source=1def8aca,78 万热度,135,"29,527",37,False,True,26273198610573082118730258063222651351354635142228384267130485462891746329212,[],72,[],92
26,5 月 30 日 LCK 关键战 T1 vs NS，如何评价这场比赛？,这场比赛的胜负对 T1 的排名没有影响，但对 KT 、 DK 、 NS 三队的排名及第三赛段分组影响颇大。,https://www.zhihu.com/question/1911823673112888236,,77 万热度,15,"9,673",17,False,False,113493557654921284815954542324263478018792263919146085502064144598393544011162,[],8,[],3
